=====================================
INSTRUÇÕES
=====================================
Com base nas informações da tabela abaixo, preciso realizar estas etapas de análise:


1) Calcular a quantidade de dias agenciados (contract_days) consecutivos para a mesma empresa (company_id) por motorista (driver_id) de modo que cada periodo consecutivo rodado pela mesmoa empresa deve ser contabilizado separadamente.
1) Em seguida Calcular contagem de contratos consecutivos para a mesma empresa (company_id) por motorista (driver_id) de modo que cada periodo consecutivo rodado pela mesmoa empresa deve ser contabilizado separadamente.
3) Média de dias por contratos no periodo consecutivo  de modo que cada periodo consecutivo rodado pela mesmoa empresa deve ser contabilizado separadamente.


=====================================
TABELA
=====================================

Nome da tabela: freights.

id    |status|company_id|truck_id|origin|destination|driver_id|price |duration|distance|round_trip|description                                                                                                                                                                                                                                                    |created_at             |updated_at             |load_id|end_at                 |start_at               |deleted_at|px_commission|day_of_week|hour_of_day|type|daily_price|nf                                          |nf_px|reason|nr_nf|nr_nf_px|has_checked_insurance|insurance_approved_at  |type_id|final_payment_receipt                                       |final_payment_obs|billing_date           |express_summary_id|vehicle_id|supply_id|daily_tip|overnight_at|company_contact_phone|contract_days|company_ideal_profile_id|automatic_selec
  9769|   300|       509|    1921|   672|           |    24953|147000|    9270|        |true      |- Tipo de veículo: Toco - Pode ser Categoria C¶- Serviço por valor diário, sendo valor de R$ 210,00 (Duzentos e dez reais) por dia de serviço.¶- Serão 5 dias de viagem, partindo de  Joinville/SC fazendo COLETA E ENTREGA na região e retornando no final do |2022-10-18 09:43:17.000|2023-09-15 14:30:06.000|      5|2022-10-25 18:00:00.000|2022-10-19 07:30:00.000|          |        41160|          3|          7|1   |      21000|bsx29oDR2AqCVXquP9NOLEGPRxIUUCzW2Zoanw60.pdf|     |      |6    |        |true                 |2022-10-18 16:34:36.000|       |f6KvNxvm7hy54L3ct14vIOno68a74d98c83e65dacd02775a52062e44.pdf|                 |2022-10-27 08:23:01.000|               194|         3|        1|        0|            |                     |            7|                        |false          
 17722|   300|       608|    2732|  1202|           |    47377| 88000|     540|        |true      |- O Motorista TERÁ AJUDANTE, porém irá auxiliar o ajudante EM TODAS AS ENTREGAS do dia.¶¶- MOTORISTA PRECISA RESIDIR PRÓXIMO A UNIDADE DE DISTRIBUIÇÃO, POIS RETORNARÁ PARA CASA - NOSSAS TAREFAS SÃO DE SEGUNDA A SEXTA.¶¶- SERÁ 1 DIA DE CONTRATO- caso  haja|2023-02-28 17:53:47.000|2023-09-15 14:32:06.000|      5|2023-03-04 17:00:00.000|2023-03-01 08:00:00.000|          |        22880|          3|          8|1   |      22000|9ns85AyPwX6VZ4n41T8VAjWMlM5CjjeuJSqG355q.pdf|     |      |6    |        |true                 |2023-02-28 18:15:57.000|       |YGB3LEaf9VkJz0osN0BovXwmdf85aa8e3d0173d25ff453700f16ab95.pdf|                 |2023-03-06 08:24:45.000|              8168|         4|        3|        0|            |                     |            4|                        |false          
 18357|   900|       608|    2732|  1343|           |         |120000|    7860|        |true      |- O Motorista TERÁ AJUDANTE, porém irá auxiliar o ajudante EM TODAS AS ENTREGAS do dia.¶¶- MOTORISTA PRECISA RESIDIR PRÓXIMO A UNIDADE DE DISTRIBUIÇÃO, POIS RETORNARÁ PARA CASA - NOSSAS TAREFAS SÃO DE SEGUNDA A SEXTA.¶¶- SERÃO 6 DIAS DE CONTRATO- caso  ha|2023-03-08 21:18:29.000|2023-09-15 14:32:15.000|      5|2023-04-01 18:00:00.000|2023-03-27 07:00:00.000|          |        31200|          1|          7|1   |      20000|                                            |     |     2|     |        |false                |                       |       |                                                            |                 |                       |              8795|         2|        3|        0|            |                     |            6|                        |false          
 18785|   900|       608|    2732|  1148|           |         |120000|    7830|        |true      |- O Motorista TERÁ AJUDANTE, porém irá auxiliar o ajudante EM TODAS AS ENTREGAS do dia.¶¶- MOTORISTA PRECISA RESIDIR PRÓXIMO A UNIDADE DE DISTRIBUIÇÃO, POIS RETORNARÁ PARA CASA - NOSSAS TAREFAS SÃO DE SEGUNDA A SEXTA.¶¶- SERÃO 6 DIAS DE CONTRATO- caso  ha|2023-03-14 19:01:22.000|2023-09-15 14:32:21.000|      5|2023-04-01 18:00:00.000|2023-03-27 07:30:00.000|          |        31200|          1|          7|1   |      20000|                                            |     |     0|     |        |false                |                       |       |                                                            |                 |                       |              9223|         2|        3|        0|            |                     |            6|                        |false          
 24924|   300|       298|    5295|   394|           |    30974|225000|    9300|        |true      |- Tipo de veículo: Carreta Sider - Partindo de Itajaí/SC para destinos indicados pela empresa e retornando para Itajaí/SC. - O motorista deve se apresentar de calçado fechado e calça comprida, e utilizar os EPI's fornecidos pela empresa e ao final da viag|2023-05-31 08:11:37.000|2023-09-15 14:34:08.000|      4|2023-06-09 00:00:00.000|2023-05-31 13:00:00.000|          |        58500|          3|         13|1   |      25000|c79cbdd4-8c2c-4f0b-b225-20bc92ababb0.pdf    |     |      |3    |        |true                 |2023-05-31 11:43:42.000|       |yINKMzsFmpXrRZFCXv0WYdMTe2da72896f85e26d8a4e4733d4add2e2.pdf|                 |2023-06-09 13:58:14.000|             15286|         8|        4|        0|            |                     |            9|                        |false          
 11324|   300|        34|    1602|   512|           |    29784|525000|   18240|        |true      |- Serviço por valor diário, sendo o valor de R$ 250,00 (Duzentos e cinquenta reais) por dia de serviço.¶- Tipo de Caminhão: Cavolo Toco, Carreta 3 eixos (BAU)¶- Motorista deve ter Pancary ou Buonny.¶- Serão 8 dias, partindo de Itapecerica da Serra/SP para|2022-11-28 17:14:40.000|2023-09-15 14:30:34.000|      6|2022-12-20 00:00:00.000|2022-11-29 08:00:00.000|          |       131250|          2|          8|1   |      25000|v8TQa7juE53LDR1mkUgo2zbB8lmnsAVDCILNWemw.pdf|     |      |4    |        |true                 |2022-11-28 17:26:48.000|       |A5Grz51R5wQDspWpnlAB0ybw373fe3eea87b531e16fc11a8e0dfe22b.pdf|                 |2022-12-23 10:33:54.000|              1757|         8|        4|        0|            |                     |           21|                        |false          
108027|   900|       547|    2178|   789|           |         | 27000|     720|        |          |DETALHES DO SERVIÇO:¶⬤ REMUNERAÇÃO: Contrato pago por dia de serviço (diária). ¶⬤ DESTINOS : Indicados pela empresa.¶⬤ VESTIMENTA E EQUIPAMENTOS: o motorista deverá se apresentar de calçado de segurança fechado, calça comprida e usar os EPI 's que serão f|2024-09-11 20:10:05.000|2024-09-12 19:21:48.000|      8|2024-09-12 19:00:00.000|2024-09-12 07:00:00.000|          |         7425|          4|          7|3   |      27000|                                            |     |     3|     |        |false                |                       |       |                                                            |                 |                       |             93172|         6|        4|        0|           2|                     |            1|                        |false          
 55819|   900|      1625|   11117|  3332|           |         | 21525|     660|        |          |- O Motorista TERÁ AJUDANTE, porém irá auxiliar o ajudante EM TODAS AS ENTREGAS do dia. ¶¶- MOTORISTA PRECISA RESIDIR PRÓXIMO A UNIDADE DE DISTRIBUIÇÃO, POIS RETORNARÁ PARA CASA ¶¶- NOSSAS TAREFAS SÃO DE SEGUNDA A SÁBADO. ¶- SERÃO (Á) 1 DIA(S) DE CONTRATO|2023-12-22 16:46:07.000|2023-12-24 11:21:25.000|      4|2023-12-23 18:00:00.000|2023-12-23 07:00:00.000|          |         5596|          6|          7|3   |      21000|                                            |     |     1|     |        |false                |                       |       |                                                            |                 |                       |             44383|         2|        1|        0|           2|5598984099337        |            1|                        |false          
 10182|   300|       288|    2508|   977|           |    14252| 50000|    2880|        |false     |Instruções Prezado Motorista. Para efeito de aprovação, seu cadastro deverá ser aprovado na Gerenciadora de Risco – esta pesquisa será feita por nós da Transpanorama – Este item e mandatório, reprovado, não consegue carregar conosco neste seguimento. Para|2022-10-29 14:28:47.000|2023-09-15 14:30:13.000|      6|2022-11-03 18:00:00.000|2022-11-01 18:00:00.000|          |        13500|          1|          0|1   |      25000|UTYPj5J9grydYsXt353czI4GHWIX9xJ23EyAo0jl.jpg|     |      |16   |        |true                 |2022-10-31 14:16:07.000|       |0k880HgreOCnwh9AKNxGqzgB490543da021a6addf9bb076350f9b087.pdf|                 |2022-11-05 08:48:53.000|               609|         8|        4|        0|            |                     |            2|                        |false          
 11325|   300|       530|    2068|   727|           |    30127|110000|    7170|        |true      |- Tipo de Caminhão: 3/4, Toco ou Truck.¶- Serviço por valor diário, sendo o valor de R$ 210,00 (duzentos e dez reais) por dia de serviço.¶- Serão 6 dias, partindo de Itajai/SC fazendo no máximo DUAS ENTREGAS de engradados de bebidas nos locais indicados p|2022-11-28 17:22:38.000|2023-09-15 14:30:34.000|      5|2022-12-03 19:00:00.000|2022-11-28 19:30:00.000|          |        24200|          1|         19|1   |      22000|fTxzmRBSz0i9Sl84h9HG5PD2xS4xpaTyVZul1g3F.pdf|     |      |32   |        |true                 |2022-11-28 18:32:06.000|       |mViH1lg7P6cj1C9vitjqHb8X9e8a84852c9b0a28f746e555276eab74.pdf|                 |2022-12-04 11:59:18.000|              1758|         4|        4|        0|            |                     |            5|                        |false          
 11326|   300|       288|    3451|   347|           |    29222|375000|   36960|        |true      |Instruções Prezado Motorista. ¶Para efeito de aprovação, seu cadastro deverá ser aprovado na Gerenciadora de Risco – esta pesquisa será feita por nós da Transpanorama – Este item e mandatório, reprovado, não consegue carregar conosco neste seguimento. Par|2022-11-28 17:40:44.000|2023-09-15 14:30:34.000|      6|2022-12-24 00:00:00.000|2022-12-09 08:00:00.000|          |       101250|          5|          8|1   |      25000|pl2HMKrNWnlH2ZrnRhGUp43mvEavMRagIErhB7wK.pdf|     |      |9    |        |true                 |2022-12-09 10:08:35.000|       |ck9JJaCi3pOqxzppkTcgnAJFad58e4c26d308918eacf8166694a2512.pdf|                 |2022-12-26 11:33:01.000|              1759|         9|        4|        0|            |                     |           15|                        |false          
 15188|   300|       598|    2507|   876|           |    14650|125000|    7200|        |true      |- VIAGEM EM DUPLA¶- Tipo de veículo: Carreta BAU¶- Serviço por valor diário, sendo valor de R$ 250,00 ( Duzentos e cinquenta reais) por dia de serviço.¶- Serão 5 dias de viagem, partindo de ITUPEVA/SP, carregando em JORDANESIA - SP com destino a MACEIO - |2023-01-31 10:12:11.000|2023-09-15 14:31:33.000|      6|2023-02-07 23:30:00.000|2023-02-02 23:30:00.000|          |        35000|          4|         23|1   |      25000|WbKvGznpQBNzTyXdL1Nx6SpxSUYD22HqbrMRCdVQ.pdf|     |      |15   |        |true                 |2023-02-02 16:00:59.000|       |zJokdDvfL2SsTH8tPoTwZJlu57b618b13bcf4fa93828e867b82a410b.pdf|                 |2023-02-08 17:04:51.000|              5636|         8|        1|        0|            |                     |            5|                        |false          
 18786|   900|       608|    2732|  1149|           |         |120000|    7830|        |true      |- O Motorista TERÁ AJUDANTE, porém irá auxiliar o ajudante EM TODAS AS ENTREGAS do dia.¶¶- MOTORISTA PRECISA RESIDIR PRÓXIMO A UNIDADE DE DISTRIBUIÇÃO, POIS RETORNARÁ PARA CASA - NOSSAS TAREFAS SÃO DE SEGUNDA A SEXTA.¶¶- SERÃO 6 DIAS DE CONTRATO- caso  ha|2023-03-14 19:01:36.000|2023-09-15 14:32:21.000|      5|2023-04-01 18:00:00.000|2023-03-27 07:30:00.000|          |        31200|          1|          7|1   |      20000|                                            |     |     1|     |        |false                |                       |       |                                                            |                 |                       |              9224|         2|        3|        0|            |                     |            6|                        |false          
 59180|   300|      1645|        |  2958|           |   102501| 24000|    2190|        |          |- O Motorista TERÁ AJUDANTE, porém irá auxiliar o ajudante EM TODAS AS ENTREGAS do dia. ¶¶- MOTORISTA PRECISA RESIDIR PRÓXIMO A UNIDADE DE DISTRIBUIÇÃO, POIS RETORNARÁ PARA CASA ¶¶- NOSSAS TAREFAS SÃO DE SEGUNDA A SÁBADO. ¶- SERÃO (Á) 1 DIA(S) DE CONTRATO|2024-01-10 22:15:42.000|2024-01-16 11:09:11.000|       |2024-01-12 20:00:00.000|2024-01-11 07:30:00.000|          |         6240|          4|          7|2   |      12000|7ba4a239-e843-45ed-8613-b032e11e1688.pdf    |     |      |44   |        |true                 |2024-01-10 22:20:08.000|       |o47OiRG0VxeZcAQe3qAWdgK8f15d94599e6b25d931bbb2a0499ba2fb.pdf|                 |2024-01-16 05:53:55.000|                  |          |         |        0|           2|                     |            2|                        |false          
 40208|   300|      1669|    9703|  3067|           |   107030| 24087|     600|        |true      |Cervejaria Petrópolis        Itaipava .. galpão vermelho ao lado do antigo mercado costa azul                                                                                                      .                                                           |2023-10-02 16:44:39.000|2023-10-06 09:40:26.000|      4|2023-10-03 17:30:00.000|2023-10-03 07:30:00.000|          |         6262|          2|          7|1   |      23500|789e8aea-7ccd-45c4-8283-978a14e0e794.pdf    |     |      |10   |        |true                 |2023-10-03 09:39:22.000|       |hLTrGLaJsIgcUlVVWnwM0B6q4abf28c605a9563580250378cce24769.pdf|                 |2023-10-06 08:42:27.000|             29997|         3|       18|        0|            |                     |            1|                        |false          
 44933|   300|      1581|    9986|  3032|           |    70022| 92000|     615|        |          |- O Motorista TERÁ AJUDANTE, porém irá auxiliar o ajudante EM TODAS AS ENTREGAS do dia. ¶¶- MOTORISTA PRECISA RESIDIR PRÓXIMO A UNIDADE DE DISTRIBUIÇÃO, POIS RETORNARÁ PARA CASA ¶¶- NOSSAS TAREFAS SÃO DE SEGUNDA A SÁBADO. ¶- SERÃO (Á) 1 DIA(S) DE CONTRATO|2023-10-28 12:48:38.000|2023-11-04 18:09:19.000|      5|2023-11-03 18:00:00.000|2023-10-30 07:45:00.000|          |        23920|          1|          7|3   |      23000|5509b44b-a13d-4b1f-8d13-7a4dac2b4b41.pdf    |     |      |17   |        |true                 |2023-10-29 21:19:28.000|       |73YRLoPXbGWp700fyzkFIdFR3e78e5695e32367ca9dfeb0d74b7c24d.pdf|                 |2023-11-04 17:27:08.000|             34313|         4|        3|        0|           2|5531998714430        |            5|                        |false          
 79933|   900|      1601|   10377|  3076|           |         | 21000|     540|        |          |DETALHES DO SERVIÇO:¶⬤ TIPO DE CAMINHÃO: 3/4, TOCO ou TRUCK.¶(A placa e modelo do caminhão será de acordo com a disponibilidade da unidade.)¶¶⬤ VEÍCULOS COM SIDER: o motorista deverá abrir, fechar e fazer as amarrações necessárias, zelando pelo equipament|2024-05-07 06:48:47.000|2024-05-07 07:23:26.000|      5|2024-05-07 18:00:00.000|2024-05-07 09:00:00.000|          |         5460|          2|          9|3   |      21000|                                            |     |     6|     |        |false                |                       |       |                                                            |                 |                       |             67024|         2|        3|        0|           2|5555849887760        |            1|                        |false          
 23071|   300|      1023|    4955|  1711|           |      718|472500|   10080|        |true      |- Tipo de veículo: Carreta Vanderléia (Sider).¶ - Motorista precisara realizar o treinamento de integração na empresa, no primeiro dia ¶12/05/2023 no período da manhã, seguindo viagem na sequência. ¶- Motorista PRECISA TER O TOXICOLOGICO EM DIA, vacinas d|2023-05-10 15:01:17.000|2023-09-15 14:43:37.000|      4|2023-05-29 08:00:00.000|2023-05-12 08:00:00.000|          |       139387|          5|          8|1   |      27000|3b4a468a-0ff4-4682-a9db-1ce420fad732.pdf    |     |      |3    |        |true                 |2023-05-10 15:23:32.000|       |SSq524pxiIrxDXJ5z2vkhozS9e47609dbbf93bad331c3eaa3e621193.pdf|                 |2023-05-29 16:57:11.000|             13448|         9|       19|        0|            |                     |           17|                        |false          
